tool,purpose,install_path,licence,maintenance_status,windows_viability,ci_viability,false_positive_risk,recommended_disposition,rationale,acceptance_criterion
repo-native-cleaner,Authoritative UOGTO arXiv source-package cleaner,scripts/maintenance/build_arxiv_source_package.py and scripts/maintenance/clean_arxiv_source_package.py,repo licence,maintained in repo,high,high,medium,required,"Already wired into Make/Pixi and tailored to UOGTO arXiv rules","Manifest proves only required TeX bibliography style and figure files are retained"
arxiv-latex-cleaner,External cleaner for unused TeX/images comments and package size,pip install arxiv-latex-cleaner,Apache-2.0,active external project,medium,high,medium,advisory-benchmark,"Strong comparison tool but must not become authoritative until its deletions are reviewed","Run in isolated output and compare removed/kept manifest with repo-native cleaner"
latexmk,Automated LaTeX/BibTeX build verifier,TeX Live or MiKTeX,GPL-2.0,active TeX ecosystem,medium,high,low,required-when-available,"Best local proxy for repeated arXiv-compatible TeX/BibTeX passes","Cleaned package compiles with an arXiv-compatible processor or records missing engine blocker"
chktex,LaTeX source linting for typographic and source issues,TeX Live or MiKTeX,GPL-2.0-or-newer,active TeX ecosystem,medium,high,high,optional-with-triage,"Useful warning source but noisy for scientific manuscripts","Warnings are reviewed and either fixed or marked false positive"
lacheck,Common LaTeX mistake checker,TeX Live or MiKTeX,GPL,maintained in TeX Live,medium,high,high,optional-with-triage,"Useful second-pass lint with likely false positives","Warnings are reviewed and either fixed or marked false positive"
checkcites,Undefined and unused citation checker,TeX Live or MiKTeX,LPPL-1.3,active TeX ecosystem,medium,high,medium,optional,"Complements repo-native SourceRight and citation-key checks","Undefined unused or missing citations are fixed or explicitly justified"
latexpand,Flatten input/include files for audit,TeX Live or MiKTeX,BSD-3-Clause,stable TeX ecosystem,medium,high,medium,optional-audit,"Useful to inspect expanded source but not necessarily upload format","Expanded source audit finds no hidden included material or records blocker"
texfot,Filter noisy TeX output to actionable messages,TeX Live or MiKTeX,public-domain,active TeX ecosystem,medium,high,low,optional,"Improves CI log readability without changing build semantics","Build logs expose actionable warnings/errors without hiding failures"
texloganalyser,Extract TeX log warnings and errors,TeX Live or MiKTeX,BSD-style,stable TeX ecosystem,medium,high,low,optional,"Alternative or complement to texfot for log review","Log analysis report records unresolved warnings and errors"
tectonic,Secondary reproducible TeX build check,standalone binary or package manager,MIT,active external project,medium,high,medium,secondary-only,"Useful reproducibility check but not proof of arXiv TeX Live compatibility","Tectonic result is recorded separately and never substitutes for latexmk/arXiv-compatible build"
