candidate_id,source_id,source_term_iri,source_label,source_term_type,uogto_source_id,uogto_term_iri,uogto_label,uogto_term_type,candidate_predicate,confidence,review_status,decision_predicate,reviewer,review_rationale,review_flags,evidence_json
candidate-cb875d9fcc5d407e,owl_time,http://www.w3.org/2006/time#hasEnd,has end,object_property,uogto_extensions_compositional-open-games,https://w3id.org/uogto/extensions#hasLens,hasLens,object_property,no_match,0.1802,rejected,,automation_prefill,Rejected because candidate generator classified this pair as no_match.,low_confidence,"{""definition_similarity"": 0.2529, ""embedding_similarity"": 0.2965, ""exact_iri"": false, ""exact_label"": false, ""external_is_uogto_parent"": false, ""lexical_similarity"": 0.8, ""normalized_label"": false, ""property_signature_similarity"": 0.0625, ""source_reliability"": 1.0, ""structural_similarity"": 0.0625, ""synonym"": false, ""type_compatible"": true}"
candidate-2bb48dfdd3f36956,owl_time,http://www.w3.org/2006/time#TemporalEntity,Temporal entity,class,uogto_extensions_verification-games,https://w3id.org/uogto/extensions#TemporalProperty,TemporalProperty,class,no_match,0.1732,rejected,,automation_prefill,Rejected because candidate generator classified this pair as no_match.,low_confidence,"{""definition_similarity"": 0.2609, ""embedding_similarity"": 0.276, ""exact_iri"": false, ""exact_label"": false, ""external_is_uogto_parent"": false, ""lexical_similarity"": 0.75, ""normalized_label"": false, ""property_signature_similarity"": 0.0, ""source_reliability"": 1.0, ""structural_similarity"": 0.0714, ""synonym"": false, ""type_compatible"": true}"
candidate-4066620a34b739d0,owl_time,http://www.w3.org/2006/time#TemporalPosition,Temporal position,class,uogto_extensions_verification-games,https://w3id.org/uogto/extensions#TemporalProperty,TemporalProperty,class,no_match,0.1726,rejected,,automation_prefill,Rejected because candidate generator classified this pair as no_match.,low_confidence,"{""definition_similarity"": 0.3571, ""embedding_similarity"": 0.3043, ""exact_iri"": false, ""exact_label"": false, ""external_is_uogto_parent"": false, ""lexical_similarity"": 0.7059, ""normalized_label"": false, ""property_signature_similarity"": 0.0, ""source_reliability"": 1.0, ""structural_similarity"": 0.0, ""synonym"": false, ""type_compatible"": true}"
candidate-5055b78966d60cd2,owl_time,http://www.w3.org/2006/time#hasEnd,has end,object_property,uogto_extensions_information-design,https://w3id.org/uogto/extensions#hasDesigner,hasDesigner,object_property,no_match,0.1659,rejected,,automation_prefill,Rejected because candidate generator classified this pair as no_match.,low_confidence,"{""definition_similarity"": 0.3711, ""embedding_similarity"": 0.2965, ""exact_iri"": false, ""exact_label"": false, ""external_is_uogto_parent"": false, ""lexical_similarity"": 0.6316, ""normalized_label"": false, ""property_signature_similarity"": 0.0588, ""source_reliability"": 1.0, ""structural_similarity"": 0.0588, ""synonym"": false, ""type_compatible"": true}"
candidate-e24935661b4d45ca,owl_time,http://www.w3.org/2006/time#hasTemporalDuration,has temporal duration,object_property,uogto_extensions_matching-allocation,https://w3id.org/uogto/extensions#hasAllocation,hasAllocation,object_property,no_match,0.1654,rejected,,automation_prefill,Rejected because candidate generator classified this pair as no_match.,low_confidence,"{""definition_similarity"": 0.383, ""embedding_similarity"": 0.2722, ""exact_iri"": false, ""exact_label"": false, ""external_is_uogto_parent"": false, ""lexical_similarity"": 0.6286, ""normalized_label"": false, ""property_signature_similarity"": 0.0625, ""source_reliability"": 1.0, ""structural_similarity"": 0.0625, ""synonym"": false, ""type_compatible"": true}"
candidate-b47265eeb9334318,owl_time,http://www.w3.org/2006/time#hasEnd,has end,object_property,uogto_core_uogto-core,https://w3id.org/uogto/core#hasRole,has role,object_property,no_match,0.1653,rejected,,automation_prefill,Rejected because candidate generator classified this pair as no_match.,low_confidence,"{""definition_similarity"": 0.3133, ""embedding_similarity"": 0.3381, ""exact_iri"": false, ""exact_label"": false, ""external_is_uogto_parent"": false, ""lexical_similarity"": 0.6667, ""normalized_label"": false, ""property_signature_similarity"": 0.0, ""source_reliability"": 1.0, ""structural_similarity"": 0.0, ""synonym"": false, ""type_compatible"": true}"
candidate-7fdb5a0913958099,owl_time,http://www.w3.org/2006/time#hasEnd,has end,object_property,uogto_extensions_evolutionary-games,https://w3id.org/uogto/extensions#hasESS,hasESS,object_property,no_match,0.1629,rejected,,automation_prefill,Rejected because candidate generator classified this pair as no_match.,low_confidence,"{""definition_similarity"": 0.2037, ""embedding_similarity"": 0.276, ""exact_iri"": false, ""exact_label"": false, ""external_is_uogto_parent"": false, ""lexical_similarity"": 0.7143, ""normalized_label"": false, ""property_signature_similarity"": 0.0556, ""source_reliability"": 1.0, ""structural_similarity"": 0.0556, ""synonym"": false, ""type_compatible"": true}"
candidate-fe8642b326846565,owl_time,http://www.w3.org/2006/time#hasDuration,has duration,object_property,uogto_core_uogto-core,https://w3id.org/uogto/core#hasTransition,has transition,object_property,no_match,0.1622,rejected,,automation_prefill,Rejected because candidate generator classified this pair as no_match.,low_confidence,"{""definition_similarity"": 0.1704, ""embedding_similarity"": 0.2166, ""exact_iri"": false, ""exact_label"": false, ""external_is_uogto_parent"": false, ""lexical_similarity"": 0.7692, ""normalized_label"": false, ""property_signature_similarity"": 0.0, ""source_reliability"": 1.0, ""structural_similarity"": 0.0, ""synonym"": false, ""type_compatible"": true}"
candidate-bf6b3e7b87674dfc,owl_time,http://www.w3.org/2006/time#Instant,Time instant,class,uogto_core_uogto-core,https://w3id.org/uogto/core#GameInstance,Game Instance,class,no_match,0.1621,rejected,,automation_prefill,Rejected because candidate generator classified this pair as no_match.,low_confidence,"{""definition_similarity"": 0.2947, ""embedding_similarity"": 0.0, ""exact_iri"": false, ""exact_label"": false, ""external_is_uogto_parent"": false, ""lexical_similarity"": 0.72, ""normalized_label"": false, ""property_signature_similarity"": 0.0, ""source_reliability"": 1.0, ""structural_similarity"": 0.1538, ""synonym"": false, ""type_compatible"": true}"
candidate-674e9135f3e0eedc,owl_time,http://www.w3.org/2006/time#hasTemporalDuration,has temporal duration,object_property,uogto_core_uogto-core,https://w3id.org/uogto/core#hasTransition,has transition,object_property,no_match,0.1615,rejected,,automation_prefill,Rejected because candidate generator classified this pair as no_match.,low_confidence,"{""definition_similarity"": 0.3654, ""embedding_similarity"": 0.2843, ""exact_iri"": false, ""exact_label"": false, ""external_is_uogto_parent"": false, ""lexical_similarity"": 0.6286, ""normalized_label"": false, ""property_signature_similarity"": 0.0, ""source_reliability"": 1.0, ""structural_similarity"": 0.0, ""synonym"": false, ""type_compatible"": true}"
