candidate_scope,candidate_id,candidate_label,source_id,source_family,evidence_level,candidate_type,decision_status,decision_class,decision_predicate,rationale,assumptions_or_heuristics,reviewer_or_role,source_artifact,linked_artifact,evidence_detail
search_route,phase2-baseline-comparison,Import completed comparative simulation ontology mapping inventory as Phase 2 baseline.,,baseline_artifact,mixed,baseline_artifact,included_for_phase2_register,included,,Preserves the completed comparison baseline before appending new article-hardening candidates.,Baseline inventory was already curated and is not a fresh live registry search.,"evidence_curation_researcher,reproducibility_curator",docs/article-hardening/search-log.jsonl,docs/ontology-comparison/source-inventory.json,"{""filters"":{""source"":""repo-local baseline"",""version"":""2026-06-24""},""included_count"":21,""result_count"":21,""screened_count"":21,""source_ids_added"":[""bfo"",""devs"",""dolce"",""emmo"",""game_ontology_project"",""gdlf_gamelan"",""hla_fom"",""kaos"",""kisao"",""miase"",""odd_protocol"",""ontouml_ufo"",""osmo"",""owl_time"",""p_plan"",""prov_o"",""schema_org"",""sed_ml"",""ssn_sosa"",""vimmp_ontologies"",""xmile""]}"
search_route,phase2-mapping-standards,SSSOM ROBOT OAEI ontology mapping standard review publication,,web_search,metadata_only,web_search,included_for_phase2_register,included,,"Adds mapping publication, review, and quality-method sources needed to harden UOGTO mapping evidence.","Method/tool records support reporting and validation design, not ontology overlap counts.","standards_landscape_researcher,methods_editor,ontology_peer_reviewer",docs/article-hardening/search-log.jsonl,"SSSOM, ROBOT, and OAEI mapping-method surfaces","{""filters"":{""artifact_type"":""ontology/schema/formalism/standard"",""date_range"":""not_limited"",""language"":""English""},""included_count"":3,""result_count"":3,""screened_count"":3,""source_ids_added"":[""oaei"",""robot"",""sssom""]}"
search_route,phase2-game-description,GDL GDL-II GDL-III GDLZ Ludii VGDL General Video Game AI game description language,,project_site,structured_non_rdf,project_site,included_for_phase2_register,included,,"Adds game-description and game-AI formalism sources likely to expose rule, move, state, imperfect-information, and execution gaps.",Some sources are literature-only or repository-version dependent; exact artifact acquisition is deferred to Phase 3.,"game_theory_gap_researcher,evidence_curation_researcher",docs/article-hardening/search-log.jsonl,Game description language and game AI project sites,"{""filters"":{""artifact_type"":""ontology/schema/formalism/standard"",""date_range"":""not_limited"",""language"":""English""},""included_count"":4,""result_count"":4,""screened_count"":4,""source_ids_added"":[""gdl_ii_iii_gdlz"",""gvgai_vgdl"",""ludii"",""stanford_gdl""]}"
search_route,phase2-simulation-standards,PNML BPMN OWL-S PDDL Petri net process planning ontology simulation standard,,standards_body,structured_non_rdf,standards_body,included_for_phase2_register,included,,"Adds process, Petri-net, service/action, and planning standards adjacent to UOGTO simulation and execution semantics.",Several standards have metadata-only or restricted redistribution status until licence review.,"standards_landscape_researcher,reproducibility_curator",docs/article-hardening/search-log.jsonl,"Simulation, process, planning, and workflow standards","{""filters"":{""artifact_type"":""ontology/schema/formalism/standard"",""date_range"":""not_limited"",""language"":""English""},""included_count"":4,""result_count"":4,""screened_count"":4,""source_ids_added"":[""bpmn_2"",""owl_s"",""pddl"",""pnml""]}"
search_route,phase2-systems-biology,SBML SBO CellML SBGN SED-ML KiSAO MIASE simulation ontology standard,,standards_body,structured_non_rdf,standards_body,included_for_phase2_register,included,,"Adds systems-biology modelling standards relevant to simulation experiments, algorithms, model dynamics, and reporting.","Domain-specific sources must be framed as modelling/simulation comparators, not game-theory ontologies.","standards_landscape_researcher,methods_editor",docs/article-hardening/search-log.jsonl,COMBINE and systems-biology modelling standards,"{""filters"":{""artifact_type"":""ontology/schema/formalism/standard"",""date_range"":""not_limited"",""language"":""English""},""included_count"":4,""result_count"":4,""screened_count"":4,""source_ids_added"":[""cellml"",""sbgn"",""sbml"",""sbo""]}"
search_route,phase2-physical-modelling,Modelica FMI SysML co-simulation physical modelling ontology standard,,standards_body,structured_non_rdf,standards_body,included_for_phase2_register,included,,"Adds continuous, hybrid, co-simulation, and systems-modelling sources for dynamic-game and digital-twin coverage analysis.",Primarily adjacent modelling-language evidence; term-level mappings require later acquisition and review.,"standards_landscape_researcher,game_theory_gap_researcher",docs/article-hardening/search-log.jsonl,"Physical modelling, co-simulation, and systems engineering standards","{""filters"":{""artifact_type"":""ontology/schema/formalism/standard"",""date_range"":""not_limited"",""language"":""English""},""included_count"":3,""result_count"":3,""screened_count"":3,""source_ids_added"":[""fmi"",""modelica"",""sysml""]}"
search_route,phase2-negative-evidence,game theory ontology OR game theory OWL OR game theory RDF registry repository,,web_search,excluded,web_search,negative_evidence_no_relevant_ontology_found,excluded,,"Targeted searches across registries, repositories, and documentation surfaces found no additional relevant ontology or formalism to include for this route.",The route was intentionally broad and did not surface a releasable ontology artifact for the queried scope.,"evidence_curation_researcher,game_theory_gap_researcher,standards_landscape_researcher",docs/article-hardening/search-log.jsonl,Game-theory ontology registry and repository sweep,"{""filters"":{""artifact_type"":""ontology/schema/formalism/standard"",""date_range"":""not_limited"",""language"":""English""},""included_count"":0,""result_count"":0,""screened_count"":0,""source_ids_added"":[]}"
source_candidate,bfo,Basic Formal Ontology,bfo,upper_ontology,metadata_only,ontology,included,included,baseline-comparator,"BFO is relevant as an upper ontology for interpreting overlap with process, object, role, and temporal semantics.",Imported from completed ontology-comparison baseline; licence and acquisition status remain as recorded there.,"evidence_curation_researcher,reproducibility_curator",docs/article-hardening/source-extension-inventory.json,https://github.com/BFO-ontology/BFO-2020,"{""licence"":{""disposition"":""needs_licence_review"",""name"":""not_recorded"",""redistribution_risk"":""medium"",""url"":null},""mapping_relevance"":""medium"",""parseability"":""metadata_only"",""search_record_ids"":[""phase2-baseline-comparison""],""uogto_module_relevance"":[""core""]}"
source_candidate,bpmn_2,Business Process Model and Notation 2.0,bpmn_2,process_modelling,structured_non_rdf,standard_schema,included,included,process-formalism-comparator,"BPMN event, activity, gateway, and process constructs provide useful comparator evidence for execution/workflow semantics.",Standards licensing may prevent local redistribution.,"standards_landscape_researcher,methods_editor",docs/article-hardening/source-extension-inventory.json,https://www.omg.org/spec/BPMN/2.0.2/,"{""licence"":{""disposition"":""metadata_only"",""name"":""OMG terms"",""url"":null},""mapping_relevance"":""medium"",""parseability"":""structured_non_rdf"",""search_record_ids"":[""phase2-simulation-standards""],""uogto_module_relevance"":[""execution"",""workflow"",""actions"",""events""]}"
source_candidate,cellml,CellML,cellml,systems_biology_modelling,structured_non_rdf,model_exchange_standard,included,included,simulation-standard-comparator,CellML is relevant for mathematical model structure and simulation context comparisons.,Domain-specific standard; avoid treating it as game-theory evidence.,standards_landscape_researcher,docs/article-hardening/source-extension-inventory.json,https://www.cellml.org/,"{""licence"":{""disposition"":""needs_licence_review"",""name"":""needs_review"",""url"":null},""mapping_relevance"":""medium"",""parseability"":""structured_non_rdf"",""search_record_ids"":[""phase2-systems-biology""],""uogto_module_relevance"":[""dynamics"",""simulation-execution"",""models""]}"
