surface,category,reviewer_lane,score,status,evidence,target_artifact,priority,rationale,acceptance_criterion
GitHub documentation,repository,FAIR-reproducibility-reviewer,82,reviewed,README plus citation docs,README and docs,should-fix,Strong reuse guidance exists but reviewer quickstart should name exact validation targets and release assets,Add reviewer-oriented validation and reuse checklist to README
Repository setup,repository,FAIR-reproducibility-reviewer,88,reviewed,pyproject plus Makefile plus make validate,environment and validation files,should-fix,Validation is green and pytest imports are fixed but setup outputs should be documented,Document pixi and pip workflows with expected command outputs
Ontology core,ontology,ontology-engineering-reviewer,90,status-reconciled,ontologies core shapes examples quality metrics and module audit table,ontology modules,should-fix,Core validates is annotated and now has article-facing module audit evidence,Keep module audit synchronized with ontology changes and final supplement tables
Game theory coverage,ontology,game-theory-professor,88,status-reconciled,extensions inclusion decisions comparison report and disposition table,ontology modules and mappings,should-fix,Broad coverage exists and missing-element dispositions are article-facing; domain-review rows must remain explicit,Keep add align-only defer reject and domain-review dispositions synchronized with future term changes
Simulation and executable semantics,ontology,simulation-methods-reviewer,81,reviewed,simulation extensions plus examples plus competency queries,simulation modules examples traces,should-fix,Executable semantics are represented but need stronger end-to-end trace demonstrations,Add trace-to-query reproducibility case studies
Source discovery evidence,evidence,FAIR-reproducibility-reviewer,87,reviewed,search-log plus source inventory plus RO-Crate,search logs source inventory RO-Crate DuckDB,should-fix,Living evidence register exists but live searches should stay current,Append latest live searches and regenerate dashboard metadata
Mapping and robustness analyses,evidence,statistics-and-network-analysis-reviewer,88,status-reconciled,SSSOM TTL metrics network analysis and mapping robustness table,mapping artifacts,should-fix,Robustness artifacts and article-facing table exist; manuscript narrative must stay compact and claim-bounded,Keep mapping table synchronized after any new alignment run
Manuscript,manuscript,Nature-editorial-reviewer,72,rewritten,docs paper plus manuscript-sourcecheck,manuscript,should-fix,Manuscript is now a full structured article draft but still needs figure integration editorial polish and supplement alignment,Polish final Nature narrative and bind figures supplement and claim-boundary tables
Supplement,supplement,Nature-editorial-reviewer,90,final-prose,docs paper supplement package claim map supplement Authentext report and SourceRight,supplement,should-fix,Supplement is now journal-style prose with numbered Supplementary Methods Results Tables S1-S11 Figures S1-S7 and claim-to-supplement map,Freeze table and figure numbering after final manuscript copyedit and rerun SourceRight Authentext arXiv and validation gates
PowerPoint,slides,visual-communications-reviewer,100,final-polished,docs presentation deck slide scorecard thumbnails and privacy audit evidence,presentation files,complete,The eight-slide editorial deck is rebuilt as a PowerPoint-authored file exported to thumbnails and scored 100/100,Rerun deck score loop only after manuscript figure table caption source data or decision wording changes
Red-team objections,cross-cutting,red-team-devils-advocate-reviewer,64,reviewed,all reviewed artifacts,all artefacts,must-fix,Main rejection risk is overclaiming relative to manuscript maturity and review depth,Add rebuttal plan with claim boundaries and evidence links
arXiv toolchain hardening,submission,arxiv-toolchain-reviewer,88,reviewed,toolchain matrix CI evidence and privacy audit manifest,arXiv scripts and workflow,should-fix,Repo-native cleaner privacy audit and CI gate pass while missing local tools are optional advisory only,Keep repo-native gate authoritative and benchmark optional tools in isolated outputs
arXiv source leak privacy audit,submission,arxiv-toolchain-reviewer,94,audited,docs/paper/arxiv-source-privacy-audit.json; docs/paper/arxiv-source-privacy-audit.md; Makefile arxiv-privacy-audit target,docs paper and source package outputs,complete,Explicit privacy audit manifest exists and CI package lane passes,Rerun privacy audit after any source-package or figure change
