analysis_component,artifact,method,primary_metric,primary_value,sensitivity_or_ablation,calibration_or_adjudication,article_use,status
SSSOM publication surface,docs/ontology-comparison/accepted-alignments.sssom.tsv,Accepted TTL alignments exported to SSSOM TSV plus YAML metadata,mapping_count,10,n/a,reviewed mappings only,Inspectable mapping evidence and reusable supplement table,complete
mapping robustness ablation: all_features,docs/ontology-comparison/mapping-robustness/mapping-robustness-ablation.json,mean feature score,performance,"{""f1"": 1.0, ""precision"": 1.0, ""recall"": 1.0}",all_features,n/a,"Shows dependence of accepted/rejected mapping calls on lexical, semantic, hierarchy, property-signature, and embedding signals",complete
mapping robustness ablation: minus_definition_similarity,docs/ontology-comparison/mapping-robustness/mapping-robustness-ablation.json,mean feature score,performance,"{""f1"": 1.0, ""precision"": 1.0, ""recall"": 1.0}",minus_definition_similarity,n/a,"Shows dependence of accepted/rejected mapping calls on lexical, semantic, hierarchy, property-signature, and embedding signals",complete
mapping robustness ablation: minus_embedding_similarity,docs/ontology-comparison/mapping-robustness/mapping-robustness-ablation.json,mean feature score,performance,"{""f1"": 1.0, ""precision"": 1.0, ""recall"": 1.0}",minus_embedding_similarity,n/a,"Shows dependence of accepted/rejected mapping calls on lexical, semantic, hierarchy, property-signature, and embedding signals",complete
mapping robustness ablation: minus_exact_label,docs/ontology-comparison/mapping-robustness/mapping-robustness-ablation.json,mean feature score,performance,"{""f1"": 1.0, ""precision"": 1.0, ""recall"": 1.0}",minus_exact_label,n/a,"Shows dependence of accepted/rejected mapping calls on lexical, semantic, hierarchy, property-signature, and embedding signals",complete
mapping robustness ablation: minus_hierarchy_context,docs/ontology-comparison/mapping-robustness/mapping-robustness-ablation.json,mean feature score,performance,"{""f1"": 1.0, ""precision"": 1.0, ""recall"": 1.0}",minus_hierarchy_context,n/a,"Shows dependence of accepted/rejected mapping calls on lexical, semantic, hierarchy, property-signature, and embedding signals",complete
mapping robustness ablation: minus_normalized_label,docs/ontology-comparison/mapping-robustness/mapping-robustness-ablation.json,mean feature score,performance,"{""f1"": 1.0, ""precision"": 1.0, ""recall"": 1.0}",minus_normalized_label,n/a,"Shows dependence of accepted/rejected mapping calls on lexical, semantic, hierarchy, property-signature, and embedding signals",complete
mapping robustness ablation: minus_property_signature,docs/ontology-comparison/mapping-robustness/mapping-robustness-ablation.json,mean feature score,performance,"{""f1"": 1.0, ""precision"": 1.0, ""recall"": 1.0}",minus_property_signature,n/a,"Shows dependence of accepted/rejected mapping calls on lexical, semantic, hierarchy, property-signature, and embedding signals",complete
mapping robustness ablation: only_definition_similarity,docs/ontology-comparison/mapping-robustness/mapping-robustness-ablation.json,mean feature score,performance,"{""f1"": 1.0, ""precision"": 1.0, ""recall"": 1.0}",only_definition_similarity,n/a,"Shows dependence of accepted/rejected mapping calls on lexical, semantic, hierarchy, property-signature, and embedding signals",complete
mapping robustness ablation: only_embedding_similarity,docs/ontology-comparison/mapping-robustness/mapping-robustness-ablation.json,mean feature score,performance,"{""f1"": 1.0, ""precision"": 1.0, ""recall"": 1.0}",only_embedding_similarity,n/a,"Shows dependence of accepted/rejected mapping calls on lexical, semantic, hierarchy, property-signature, and embedding signals",complete
mapping robustness ablation: only_exact_label,docs/ontology-comparison/mapping-robustness/mapping-robustness-ablation.json,mean feature score,performance,"{""f1"": 1.0, ""precision"": 1.0, ""recall"": 1.0}",only_exact_label,n/a,"Shows dependence of accepted/rejected mapping calls on lexical, semantic, hierarchy, property-signature, and embedding signals",complete
